origin,angles,info
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.playlist:fs_1v1"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.map:mp_rr_arena_skygarden"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.spawnsCount:30"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.teamCount:2"
"< 0, 0, 0 >","< 0, 0, 0>" ,"pakData.devAutoSave:false"
"< -2711.41, 151.713, 2855.16>","< 357.231, 267.359, 0>"  ,"spawn_0"
"< -2725.5, -390.595, 2855.16>","< 356.07, 89.8643, 0>"  ,"spawn_1"
"< 2729.37, -342.944, 2855.28>","< 356.025, 89.8239, 0>"  ,"spawn_2"
"< 2735.39, 137.601, 2855.28>","< 359.026, 267.91, 0>"  ,"spawn_3"
"< 325.688, -99.1393, 2681.03>","< 358.283, 178.043, 0>"  ,"spawn_4"
"< -306.827, -91.6225, 2681.03>","< 358.79, 358.514, 0>"  ,"spawn_5"
"< 257.365, 2178.87, 2896.03>","< 358.821, 180.857, 0>"  ,"spawn_10"
"< -283.569, 2179.09, 2896.03>","< 358.255, 359.077, 0>"  ,"spawn_11"
"< 674.815, 2649.66, 2920.03>","< 358.796, 179.896, 0>"  ,"spawn_12"
"< -651.259, 2648.31, 2920.03>","< 3.93804, 0.667462, 0>"  ,"spawn_13"
"< -1281.6, 2764.84, 2920.03>","< 0.249392, 87.9701, 0>"  ,"spawn_14"
"< -892.455, 3178.81, 2920.03>","< 359.401, 179.992, 0>"  ,"spawn_15"
"< 1282.59, 2789.23, 2920.03>","< 359.461, 90.1711, 0>"  ,"spawn_16"
"< 867.468, 3186.7, 2920.03>","< 0.150161, 357.612, 0>"  ,"spawn_17"
"< 2206.92, -2677.09, 2853.03>","< 357.898, 253.507, 0>"  ,"spawn_18"
"< 2054.66, -3161.08, 2853.03>","< 358.78, 70.775, 0>"  ,"spawn_19"
"< -2286.88, -3133.19, 2853.03>","< 359.509, 96.6746, 0>"  ,"spawn_20"
"< -2333.66, -2710.4, 2853.03>","< 1.75485, 274.973, 0>"  ,"spawn_21"
"< -288.876, -2393.52, 2730.03>","< 359.63, 359.863, 0>"  ,"spawn_22"
"< 248.064, -2393.83, 2730.34>","< 357.904, 178.891, 0>"  ,"spawn_23"
"< 577.367, -3156.26, 2826.03>","< 0.834124, 180.397, 0>"  ,"spawn_26"
"< -614.982, -3148.64, 2826.03>","< 359.879, 358.87, 0>"  ,"spawn_27"
"< 2366.22, 283.837, 2591.35>","< 359.562, 270.137, 0>"  ,"spawn_28"
"< 2353.46, -503.545, 2591.35>","< 0.808933, 89.3065, 0>"  ,"spawn_29"
"< -2347.91, 323.3, 2591.35>","< 359.135, 270.755, 0>"  ,"spawn_30"
"< -2339.53, -535.238, 2591.35>","< 358.435, 90.713, 0>"  ,"spawn_31"
"< -1481.25, 2680.42, 2654.9>","< 0.509212, 270.948, 0>"  ,"newpole-A1"
"< -1480.49, 1900.22, 2664.33>","< 2.01401, 89.5005, 0>"  ,"newpole-A2"
"< 1466.35, 2644.52, 2655.24>","< 358.092, 271.875, 0>"  ,"newpole-B1"
"< 1473.62, 1919.02, 2666.37>","< 0.464548, 90.1653, 0>"  ,"newpole-B2"
vector,vector,string
